ID_PONTO	NOME_VIA	LONG	LAT
215	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91005	-8.09878
216	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91004	-8.09857
217	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91003	-8.09847
218	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90999	-8.09821
219	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90994	-8.09794
220	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90991	-8.09782
221	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90986	-8.09755
222	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90979	-8.09718
223	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90964	-8.0965
224	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90963	-8.09643
225	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90961	-8.09636
226	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90944	-8.09563
227	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90927	-8.09491
228	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90849	-8.09131
229	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90841	-8.09113
230	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.9084	-8.09104
231	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90838	-8.09098
232	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90837	-8.09091
233	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.9083	-8.09055
234	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90826	-8.09039
235	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90821	-8.09014
236	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90817	-8.08997
237	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90804	-8.08946
238	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90799	-8.08922
239	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90794	-8.08895
240	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90786	-8.0886
241	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90773	-8.08806
242	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90752	-8.08712
243	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90751	-8.08708
244	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90746	-8.08693
245	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90733	-8.08642
246	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90731	-8.08634
247	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90721	-8.08577
248	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90715	-8.08548
249	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90701	-8.08484
250	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90698	-8.08465
251	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90693	-8.08435
252	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90688	-8.08411
253	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90698	-8.08406
254	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90698	-8.08408
255	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90705	-8.08433
256	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90711	-8.08457
257	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.9072	-8.08489
258	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90726	-8.08521
259	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90733	-8.08549
260	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90735	-8.08556
261	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90739	-8.08574
262	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90751	-8.08633
