ID_AREA	NOME_AREA	TIPO_AREA	LAT	LONG
332	Sítio Da Trindade/Arraial Velho Do Bom Jesus	Parque	-8.030021972	-34.91275685
333	Jose Bonifacio	Praça	-8.012440826	-34.91357212
334	Jenner De Souza	Praca	-8.054924707	-34.90034744
335	Otávio  De Freitas	Praça	-8.057887213	-34.90050161
336	Da Rua José Pimentel	Praça	-8.114548305	-34.91848104
337	Largo Dom Luiz	Praça	-8.020885691	-34.91734692
338	General Euler Bents/ Da Sudene	Praça	-8.113887535	-34.92190533
339	Da Rua  Antonio Aparecido	Praça	-8.127494322	-34.94578104
340	Maria Vitalina Gonçalves Da Rocha / Do Bongi	Praça	-8.063929747	-34.92180501
341	Senhor Bartolomeu	Praça	-8.017911929	-34.93295864
342	Da Quadra	Praça	-8.012731231	-34.92137623
343	Sitio Grande	Praça	-8.019765636	-34.92688557
344	Nadir Colaço	Praça	-8.016750179	-34.92925896
345	Jose Vieira	Praça	-8.087220203	-34.90516133
346	Jose Vieira	Praça	-8.086877574	-34.90536075
347	Da Morena	Praça	-8.116369718	-34.94830291
348	Da Morena	Praça	-8.11617109	-34.94890321
349	Campo Do Lagoão	Praça	-8.128845111	-34.95083215
350	Boco-Moco/Da Ur 5	Praça	-8.132747044	-34.94970258
351	Nova Esperança	Praça	-8.030824123	-34.93262109
352	Maracangaia	Praça	-8.116811063	-34.9546874
353	Exposição Do Cordeiro	Parque	-8.044744487	-34.92535678
354	Flor De Cheiro	Praça	-8.120125345	-34.95710594
355	João Felipe Santiago	Praça	-8.118819683	-34.95492513
356	Gonçalo Leitão	Praça	-8.128727997	-34.94708775
357	Da Rua Itacambira	Praça	-8.105712489	-34.91999826
358	Da Rua Arquiteto Luiz Nunes	Praça	-8.089276206	-34.91049532
359	Da Avenida Engenheiro Abdias De Carvalho	Praça	-8.067910349	-34.93832462
360	Da Avenida Engenheiro Abdias De Carvalho	Praça	-8.065952236	-34.93789124
361	Do Largo Da Ponte Do Motocolombo	Praça	-8.082850417	-34.90642201
362	Rafael De Oliveira Alves	Praça	-8.075239891	-34.94558515
363	Truaca/ Tempo De Crescer	Praça	-8.111212827	-34.95146858
364	Tempo De Crescer	Praça	-8.111087025	-34.95081999
365	Luiz De Lacerda	Praça	-8.036268228	-34.94338123
366	Do Caixito	Praça	-8.074056853	-34.93108626
367	Boco Moco	Praça	-8.133478736	-34.95051865
368	Ministro Salgado Filho	Praça	-8.133597383	-34.91695028
369	Professor Trajano	Area Verde	-8.044593017	-34.90991802
370	Da Rua Riacho Doce	Praça	-8.112307346	-34.95126004
371	Monteiro Lobato	Praça	-8.131932272	-34.94735949
372	Robert Kennedy / Da Juventude	Parque	-8.116369686	-34.91858583
373	Da Rua Joao Guilherme	Praça	-8.115386499	-34.91944517
374	Da Rua Junqueira Freire	Praça	-8.116225406	-34.92041192
375	Da Rua Leonardo Da Vinci	Praça	-8.117564241	-34.91620587
376	Encanta Moça/ Posto Policial	Praça	-8.093072428	-34.88864188
377	Nargor Do Carmo	Praça	-8.089104566	-34.90575998
378	Arquiteta Maria Lucia	Praça	-8.103822755	-34.92671357
379	Mauriceia	Praça	-8.107793342	-34.91646488
380	Do Jacaré	Praça	-8.118242401	-34.91781849
381	Jose D'Emerycarneiro	Praça	-8.117063431	-34.92137852
382	Lins Do Rego/ Dos Brotos	Praça	-8.118709463	-34.91914364
383	Circular Do Alto Jordao	Praça	-8.134237437	-34.94381569
384	Mercado Municipal Da Ur-5	Praça	-8.132432675	-34.94882182
385	Da Rua Eliza  Leal Wanderley	Praça	-8.110108388	-34.92662342
